signature,prime,valuation_mask,valuation_classification,lift_classification,expected_reduction,current_trace_comparison_applies,separate_argument_required,reason
5-4-5,3,AB,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,3,ABC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,3,AC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,3,A_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,3,BC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,3,B_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,3,C_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,3,unit,locally_possible,valuation_stable,good_reduction,True,False,"A,B,C are units and the current good-prime trace filter applies."
5-4-5,7,AB,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,7,ABC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,7,AC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,7,A_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,7,BC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,7,B_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,7,C_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,7,unit,locally_possible,valuation_stable,good_reduction,True,False,"A,B,C are units and the current good-prime trace filter applies."
5-4-5,13,AB,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,13,ABC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,13,AC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,13,A_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,13,BC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,13,B_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,13,C_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,13,unit,locally_possible,valuation_stable,good_reduction,True,False,"A,B,C are units and the current good-prime trace filter applies."
5-4-5,17,AB,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,17,ABC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,17,AC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,17,A_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,17,BC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,17,B_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,17,C_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,17,unit,locally_possible,valuation_stable,good_reduction,True,False,"A,B,C are units and the current good-prime trace filter applies."
5-4-5,19,AB,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,19,ABC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,19,AC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,19,A_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,19,BC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,19,B_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,19,C_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,19,unit,locally_possible,valuation_stable,good_reduction,True,False,"A,B,C are units and the current good-prime trace filter applies."
5-4-5,23,AB,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,23,ABC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,23,AC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,23,A_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,23,BC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,23,B_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,23,C_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,23,unit,locally_possible,valuation_stable,good_reduction,True,False,"A,B,C are units and the current good-prime trace filter applies."
5-4-5,29,AB,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,29,ABC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,29,AC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,29,A_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,29,BC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,29,B_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,29,C_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,29,unit,locally_possible,valuation_stable,good_reduction,True,False,"A,B,C are units and the current good-prime trace filter applies."
5-4-5,31,AB,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,31,ABC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,31,AC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,31,A_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,31,BC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,31,B_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,31,C_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,31,unit,locally_possible,valuation_stable,good_reduction,True,False,"A,B,C are units and the current good-prime trace filter applies."
5-4-5,37,AB,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,37,ABC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,37,AC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,37,A_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,37,BC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,37,B_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,37,C_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,37,unit,locally_possible,valuation_stable,good_reduction,True,False,"A,B,C are units and the current good-prime trace filter applies."
5-4-5,41,AB,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,41,ABC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,41,AC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,41,A_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,41,BC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,41,B_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,41,C_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,41,unit,locally_possible,valuation_stable,good_reduction,True,False,"A,B,C are units and the current good-prime trace filter applies."
5-4-5,43,AB,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,43,ABC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,43,AC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,43,A_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,43,BC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,43,B_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,43,C_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,43,unit,locally_possible,valuation_stable,good_reduction,True,False,"A,B,C are units and the current good-prime trace filter applies."
5-4-5,47,AB,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,47,ABC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,47,AC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,47,A_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,47,BC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,47,B_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,47,C_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,47,unit,locally_possible,valuation_stable,good_reduction,True,False,"A,B,C are units and the current good-prime trace filter applies."
5-4-5,53,AB,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,53,ABC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,53,AC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,53,A_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,53,BC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,53,B_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,53,C_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,53,unit,locally_possible,valuation_stable,good_reduction,True,False,"A,B,C are units and the current good-prime trace filter applies."
5-4-5,59,AB,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,59,ABC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,59,AC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,59,A_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,59,BC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,59,B_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,59,C_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,59,unit,locally_possible,valuation_stable,good_reduction,True,False,"A,B,C are units and the current good-prime trace filter applies."
5-4-5,61,AB,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,61,ABC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,61,AC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,61,A_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,61,BC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,61,B_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,61,C_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,61,unit,locally_possible,valuation_stable,good_reduction,True,False,"A,B,C are units and the current good-prime trace filter applies."
5-4-5,67,AB,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,67,ABC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,67,AC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,67,A_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,67,BC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,67,B_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,67,C_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,67,unit,locally_possible,valuation_stable,good_reduction,True,False,"A,B,C are units and the current good-prime trace filter applies."
5-4-5,71,AB,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,71,ABC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,71,AC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,71,A_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,71,BC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,71,B_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,71,C_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,71,unit,locally_possible,valuation_stable,good_reduction,True,False,"A,B,C are units and the current good-prime trace filter applies."
5-4-5,73,AB,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,73,ABC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,73,AC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,73,A_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,73,BC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,73,B_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,73,C_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,73,unit,locally_possible,valuation_stable,good_reduction,True,False,"A,B,C are units and the current good-prime trace filter applies."
5-4-5,79,AB,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,79,ABC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,79,AC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,79,A_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,79,BC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,79,B_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,79,C_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,79,unit,locally_possible,valuation_stable,good_reduction,True,False,"A,B,C are units and the current good-prime trace filter applies."
5-4-5,83,AB,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,83,ABC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,83,AC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,83,A_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,83,BC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,83,B_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,83,C_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,83,unit,locally_possible,valuation_stable,good_reduction,True,False,"A,B,C are units and the current good-prime trace filter applies."
5-4-5,89,AB,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,89,ABC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,89,AC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,89,A_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,89,BC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,89,B_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,89,C_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,89,unit,locally_possible,valuation_stable,good_reduction,True,False,"A,B,C are units and the current good-prime trace filter applies."
5-4-5,97,AB,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,97,ABC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,97,AC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,97,A_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,97,BC,primitive_forbidden,primitive_forbidden,template_unknown,False,False,The valuation mask is excluded by primitivity before trace comparison.
5-4-5,97,B_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,97,C_only,locally_possible,valuation_stable,singular_reduction,False,True,"A single variable is zero modulo q, causing repeated roots in E: y^2=x(x-A^5)(x+B^4); this needs a separate local reduction argument."
5-4-5,97,unit,locally_possible,valuation_stable,good_reduction,True,False,"A,B,C are units and the current good-prime trace filter applies."
