job_id,signature,canonical_signature_id,route_label,source_run,candidate_case_ids,candidate_rows,primes_involved,candidate_levels,frey_template_id,frey_template_equation,limitations,job_path,result_path,batch_path,sage_available,job_status,command_hint
sage_3_3_4,3-3-4,3-3-4,needs_external_sage_check,sage_followup_ci,repeat_3_3_4_imprimitive,known_case:repeat_3_3_4_imprimitive:needs_external_sage_check:prime=13,13,78;156;234;312;1014,frey_split_full_2torsion_candidate,E: y^2 = x(x - A^3)(x + B^3),route-audit only; conductor levels are heuristic; Frey template needs independent validation; contradiction_claim_allowed is false,runs/sage_followup_ci/sage_jobs/sage_3_3_4.sage,runs/sage_followup_ci/sage_results/sage_3_3_4.json,runs/sage_followup_ci/sage_jobs/run_all_sage_jobs.sage,False,job_written_sage_unavailable,sage runs/sage_followup_ci/sage_jobs/sage_3_3_4.sage
sage_3_3_5,3-3-5,3-3-5,needs_external_sage_check,sage_followup_ci,repeat_3_3_5,known_case:repeat_3_3_5:needs_external_sage_check:prime=13,13,390;780;1170;1560;1950,frey_split_full_2torsion_candidate,E: y^2 = x(x - A^3)(x + B^3),route-audit only; conductor levels are heuristic; Frey template needs independent validation; contradiction_claim_allowed is false,runs/sage_followup_ci/sage_jobs/sage_3_3_5.sage,runs/sage_followup_ci/sage_results/sage_3_3_5.json,runs/sage_followup_ci/sage_jobs/run_all_sage_jobs.sage,False,job_written_sage_unavailable,sage runs/sage_followup_ci/sage_jobs/sage_3_3_5.sage
sage_3_4_3,3-4-3,3-4-3,newform_check_candidate,sage_followup_ci,mixed_3_4_3,known_case:mixed_3_4_3:needs_external_sage_check:prime=31;modular_row:newform_check_candidate:ell=13:score=15.097644167;modular_row:newform_check_candidate:ell=19:score=15.6993447773;modular_row:newform_check_candidate:ell=31:score=16.0146097613,13;19;31,,frey_split_full_2torsion_candidate,E: y^2 = x(x - A^3)(x + B^4),route-audit only; conductor levels are heuristic; Frey template needs independent validation; contradiction_claim_allowed is false,runs/sage_followup_ci/sage_jobs/sage_3_4_3.sage,runs/sage_followup_ci/sage_results/sage_3_4_3.json,runs/sage_followup_ci/sage_jobs/run_all_sage_jobs.sage,False,job_written_sage_unavailable,sage runs/sage_followup_ci/sage_jobs/sage_3_4_3.sage
sage_3_5_5,3-5-5,3-5-5,needs_external_sage_check,sage_followup_ci,mixed_3_5_5,known_case:mixed_3_5_5:needs_external_sage_check:prime=31,31,930;1860;2790;3720;4650,frey_split_full_2torsion_candidate,E: y^2 = x(x - A^3)(x + B^5),route-audit only; conductor levels are heuristic; Frey template needs independent validation; contradiction_claim_allowed is false,runs/sage_followup_ci/sage_jobs/sage_3_5_5.sage,runs/sage_followup_ci/sage_results/sage_3_5_5.json,runs/sage_followup_ci/sage_jobs/run_all_sage_jobs.sage,False,job_written_sage_unavailable,sage runs/sage_followup_ci/sage_jobs/sage_3_5_5.sage
sage_4_3_3,4-3-3,3-4-3,newform_check_candidate,sage_followup_ci,,modular_row:newform_check_candidate:ell=13:score=15.097644167,13,78;156;234;312;1014,frey_split_full_2torsion_candidate,E: y^2 = x(x - A^4)(x + B^3),route-audit only; conductor levels are heuristic; Frey template needs independent validation; contradiction_claim_allowed is false,runs/sage_followup_ci/sage_jobs/sage_4_3_3.sage,runs/sage_followup_ci/sage_results/sage_4_3_3.json,runs/sage_followup_ci/sage_jobs/run_all_sage_jobs.sage,False,job_written_sage_unavailable,sage runs/sage_followup_ci/sage_jobs/sage_4_3_3.sage
sage_4_5_5,4-5-5,4-5-5,mixed_needs_external_check,sage_followup_ci,bridge_4_5_5,known_case:bridge_4_5_5:mixed_needs_external_check:prime=31,31,310;620;1240;1550,frey_split_full_2torsion_candidate,E: y^2 = x(x - A^4)(x + B^5),route-audit only; conductor levels are heuristic; Frey template needs independent validation; contradiction_claim_allowed is false,runs/sage_followup_ci/sage_jobs/sage_4_5_5.sage,runs/sage_followup_ci/sage_results/sage_4_5_5.json,runs/sage_followup_ci/sage_jobs/run_all_sage_jobs.sage,False,job_written_sage_unavailable,sage runs/sage_followup_ci/sage_jobs/sage_4_5_5.sage
sage_4_7_7,4-7-7,4-7-7,needs_external_sage_check,sage_followup_ci,bridge_4_7_7,known_case:bridge_4_7_7:needs_external_sage_check:prime=29,29,406;812;1624;2842,frey_split_full_2torsion_candidate,E: y^2 = x(x - A^4)(x + B^7),route-audit only; conductor levels are heuristic; Frey template needs independent validation; contradiction_claim_allowed is false,runs/sage_followup_ci/sage_jobs/sage_4_7_7.sage,runs/sage_followup_ci/sage_results/sage_4_7_7.json,runs/sage_followup_ci/sage_jobs/run_all_sage_jobs.sage,False,job_written_sage_unavailable,sage runs/sage_followup_ci/sage_jobs/sage_4_7_7.sage
sage_5_3_5,5-3-5,3-5-5,mixed_needs_external_check,sage_followup_ci,mixed_5_3_5,known_case:mixed_5_3_5:mixed_needs_external_check:prime=11,11,330;660;990;1320;1650;3630,frey_split_full_2torsion_candidate,E: y^2 = x(x - A^5)(x + B^3),route-audit only; conductor levels are heuristic; Frey template needs independent validation; contradiction_claim_allowed is false,runs/sage_followup_ci/sage_jobs/sage_5_3_5.sage,runs/sage_followup_ci/sage_results/sage_5_3_5.json,runs/sage_followup_ci/sage_jobs/run_all_sage_jobs.sage,False,job_written_sage_unavailable,sage runs/sage_followup_ci/sage_jobs/sage_5_3_5.sage
sage_5_4_5,5-4-5,4-5-5,mixed_needs_external_check,sage_followup_ci,bridge_5_4_5,known_case:bridge_5_4_5:mixed_needs_external_check:prime=11,11,110;220;440;550;1210,frey_split_full_2torsion_candidate,E: y^2 = x(x - A^5)(x + B^4),route-audit only; conductor levels are heuristic; Frey template needs independent validation; contradiction_claim_allowed is false,runs/sage_followup_ci/sage_jobs/sage_5_4_5.sage,runs/sage_followup_ci/sage_results/sage_5_4_5.json,runs/sage_followup_ci/sage_jobs/run_all_sage_jobs.sage,False,job_written_sage_unavailable,sage runs/sage_followup_ci/sage_jobs/sage_5_4_5.sage
sage_5_5_4,5-5-4,5-5-4,mixed_needs_external_check,sage_followup_ci,bridge_5_5_4,known_case:bridge_5_5_4:mixed_needs_external_check:prime=31,31,310;620;1240;1550,frey_split_full_2torsion_candidate,E: y^2 = x(x - A^5)(x + B^5),route-audit only; conductor levels are heuristic; Frey template needs independent validation; contradiction_claim_allowed is false,runs/sage_followup_ci/sage_jobs/sage_5_5_4.sage,runs/sage_followup_ci/sage_results/sage_5_5_4.json,runs/sage_followup_ci/sage_jobs/run_all_sage_jobs.sage,False,job_written_sage_unavailable,sage runs/sage_followup_ci/sage_jobs/sage_5_5_4.sage
sage_5_5_7,5-5-7,5-5-7,mixed_needs_external_check,sage_followup_ci,repeat_5_5_7,known_case:repeat_5_5_7:mixed_needs_external_check:prime=11,11,770;1540;3080;3850,frey_split_full_2torsion_candidate,E: y^2 = x(x - A^5)(x + B^5),route-audit only; conductor levels are heuristic; Frey template needs independent validation; contradiction_claim_allowed is false,runs/sage_followup_ci/sage_jobs/sage_5_5_7.sage,runs/sage_followup_ci/sage_results/sage_5_5_7.json,runs/sage_followup_ci/sage_jobs/run_all_sage_jobs.sage,False,job_written_sage_unavailable,sage runs/sage_followup_ci/sage_jobs/sage_5_5_7.sage
sage_7_4_7,7-4-7,4-7-7,needs_external_sage_check,sage_followup_ci,bridge_7_4_7,known_case:bridge_7_4_7:needs_external_sage_check:prime=29,29,406;812;1624;2842,frey_split_full_2torsion_candidate,E: y^2 = x(x - A^7)(x + B^4),route-audit only; conductor levels are heuristic; Frey template needs independent validation; contradiction_claim_allowed is false,runs/sage_followup_ci/sage_jobs/sage_7_4_7.sage,runs/sage_followup_ci/sage_results/sage_7_4_7.json,runs/sage_followup_ci/sage_jobs/run_all_sage_jobs.sage,False,job_written_sage_unavailable,sage runs/sage_followup_ci/sage_jobs/sage_7_4_7.sage
sage_7_7_4,7-7-4,7-7-4,needs_external_sage_check,sage_followup_ci,bridge_7_7_4,known_case:bridge_7_7_4:needs_external_sage_check:prime=29,29,406;812;1624;2842,frey_split_full_2torsion_candidate,E: y^2 = x(x - A^7)(x + B^7),route-audit only; conductor levels are heuristic; Frey template needs independent validation; contradiction_claim_allowed is false,runs/sage_followup_ci/sage_jobs/sage_7_7_4.sage,runs/sage_followup_ci/sage_results/sage_7_7_4.json,runs/sage_followup_ci/sage_jobs/run_all_sage_jobs.sage,False,job_written_sage_unavailable,sage runs/sage_followup_ci/sage_jobs/sage_7_7_4.sage
