signature,level,factorization,includes_11,conductor_plausibility_label,import_status,coefficient_field_status,newform_count,selected_good_primes,tested_good_primes,eliminated_newforms,surviving_newforms,unresolved_newforms,first_eliminators,unit_surviving_branch_count,single_mask_surviving_branch_count,unresolved_branch_count,level_trace_label,route_ceiling_label,reason
5-4-5,1,1,False,exploratory_low_bad_prime_support,completed,no_coefficients,0,3;13;17;41;61,3;13;17;41;61,,,,,0,0,0,level_trace_mismatch_candidate,worth_human_modular_review,Sage reports no weight-2 newforms at this candidate level.
5-4-5,2,2,False,plausible_without_11,completed,no_coefficients,0,3;13;17;41;61,3;13;17;41;61,,,,,0,0,0,level_trace_mismatch_candidate,worth_human_modular_review,Sage reports no weight-2 newforms at this candidate level.
5-4-5,4,2^2,False,plausible_without_11,completed,no_coefficients,0,3;13;17;41;61,3;13;17;41;61,,,,,0,0,0,level_trace_mismatch_candidate,worth_human_modular_review,Sage reports no weight-2 newforms at this candidate level.
5-4-5,5,5,False,plausible_without_11,completed,no_coefficients,0,3;13;17;41;61,3;13;17;41;61,,,,,0,0,0,level_trace_mismatch_candidate,worth_human_modular_review,Sage reports no weight-2 newforms at this candidate level.
5-4-5,8,2^3,False,plausible_without_11,completed,no_coefficients,0,3;13;17;41;61,3;13;17;41;61,,,,,0,0,0,level_trace_mismatch_candidate,worth_human_modular_review,Sage reports no weight-2 newforms at this candidate level.
5-4-5,10,2 * 5,False,plausible_without_11,completed,no_coefficients,0,3;13;17;41;61,3;13;17;41;61,,,,,0,0,0,level_trace_mismatch_candidate,worth_human_modular_review,Sage reports no weight-2 newforms at this candidate level.
5-4-5,11,11,True,exploratory_low_bad_prime_support,completed,all_clear,1,3;13;17;41;61,3;13;17;41;61,,newform_0,,,3,15,0,level_survivor_exists,worth_human_modular_review,At least one imported newform has a surviving unit or single-mask branch at this candidate level.
5-4-5,20,2^2 * 5,False,plausible_without_11,completed,all_clear,1,3;13;17;41;61,3;13;17;41;61,newform_0,,,newform_0:q=3,0,0,0,level_trace_mismatch_candidate,worth_human_modular_review,Every imported newform has at least one focused good prime eliminating unit and single-mask branches.
5-4-5,22,2 * 11,True,plausible_with_11,completed,no_coefficients,0,3;13;17;41;61,3;13;17;41;61,,,,,0,0,0,level_trace_mismatch_candidate,worth_human_modular_review,Sage reports no weight-2 newforms at this candidate level.
5-4-5,25,5^2,False,plausible_without_11,completed,no_coefficients,0,3;13;17;41;61,3;13;17;41;61,,,,,0,0,0,level_trace_mismatch_candidate,worth_human_modular_review,Sage reports no weight-2 newforms at this candidate level.
5-4-5,40,2^3 * 5,False,plausible_without_11,completed,all_clear,1,3;13;17;41;61,3;13;17;41;61,,newform_0,,,5,6,0,level_survivor_exists,worth_human_modular_review,At least one imported newform has a surviving unit or single-mask branch at this candidate level.
5-4-5,44,2^2 * 11,True,plausible_with_11,completed,all_clear,1,3;13;17;41;61,3;13;17;41;61,,newform_0,,,4,6,0,level_survivor_exists,worth_human_modular_review,At least one imported newform has a surviving unit or single-mask branch at this candidate level.
5-4-5,50,2 * 5^2,False,plausible_without_11,completed,all_clear,2,3;13;17;41;61,3;13;17;41;61,,newform_0;newform_1,,,6,30,0,level_survivor_exists,worth_human_modular_review,At least one imported newform has a surviving unit or single-mask branch at this candidate level.
5-4-5,55,5 * 11,True,plausible_with_11,completed,mixed_or_unclear,2,3;13;17;41;61,3;13;17;41;61,newform_1,newform_0,,newform_1:q=41,5,3,12,level_survivor_exists,worth_human_modular_review,At least one imported newform has a surviving unit or single-mask branch at this candidate level.
5-4-5,88,2^3 * 11,True,plausible_with_11,completed,mixed_or_unclear,2,3;13;17;41;61,3;13;17;41;61,newform_0,newform_1,,newform_0:q=3,1,3,16,level_survivor_exists,worth_human_modular_review,At least one imported newform has a surviving unit or single-mask branch at this candidate level.
5-4-5,100,2^2 * 5^2,False,plausible_without_11,completed,all_clear,1,3;13;17;41;61,3;13;17;41;61,newform_0,,,newform_0:q=3,0,0,0,level_trace_mismatch_candidate,worth_human_modular_review,Every imported newform has at least one focused good prime eliminating unit and single-mask branches.
5-4-5,110,2 * 5 * 11,True,plausible_with_11,completed,mixed_or_unclear,4,3;13;17;41;61,3;13;17;41;61,newform_0,newform_1;newform_2;newform_3,,newform_0:q=41,10,27,16,level_survivor_exists,worth_human_modular_review,At least one imported newform has a surviving unit or single-mask branch at this candidate level.
5-4-5,200,2^3 * 5^2,False,plausible_without_11,completed,all_clear,5,3;13;17;41;61,3;13;17;41;61,newform_0;newform_1;newform_3;newform_4,newform_2,,newform_0:q=3;newform_1:q=3;newform_3:q=3;newform_4:q=3,5,6,0,level_survivor_exists,worth_human_modular_review,At least one imported newform has a surviving unit or single-mask branch at this candidate level.
5-4-5,220,2^2 * 5 * 11,True,current_baseline_heuristic,completed,all_clear,2,3;13;17;41;61,3;13;17;41;61,newform_0;newform_1,,,newform_0:q=3;newform_1:q=3,0,0,0,level_trace_mismatch_candidate,worth_human_modular_review,Every imported newform has at least one focused good prime eliminating unit and single-mask branches.
5-4-5,275,5^2 * 11,True,plausible_with_11,completed,mixed_or_unclear,8,3;13;17;41;61,3;13;17;41;61,newform_2;newform_4;newform_5;newform_7,newform_0;newform_1;newform_3;newform_6,,newform_2:q=41;newform_4:q=13;newform_5:q=13;newform_7:q=13,10,24,56,level_survivor_exists,worth_human_modular_review,At least one imported newform has a surviving unit or single-mask branch at this candidate level.
5-4-5,440,2^3 * 5 * 11,True,plausible_with_11,completed,mixed_or_unclear,7,3;13;17;41;61,3;13;17;41;61,newform_0;newform_1;newform_3,newform_2;newform_4;newform_5,newform_6,newform_0:q=13;newform_1:q=41;newform_3:q=3,12,12,48,level_survivor_exists,worth_human_modular_review,At least one imported newform has a surviving unit or single-mask branch at this candidate level.
5-4-5,550,2 * 5^2 * 11,True,plausible_with_11,completed,mixed_or_unclear,14,3;13;17;41;61,3;13;17;41;61,newform_0;newform_1;newform_2;newform_6;newform_7;newform_8;newform_10;newform_11;newform_12,newform_3;newform_4;newform_5;newform_9;newform_13,,newform_0:q=3;newform_1:q=3;newform_2:q=3;newform_6:q=3;newform_7:q=3;newform_8:q=41;newform_10:q=3;newform_11:q=3;newform_12:q=3,16,57,16,level_survivor_exists,worth_human_modular_review,At least one imported newform has a surviving unit or single-mask branch at this candidate level.
5-4-5,1100,2^2 * 5^2 * 11,True,plausible_with_11,completed,mixed_or_unclear,10,3;13;17;41;61,3;13;17;41;61,newform_0;newform_4,newform_1;newform_2;newform_3;newform_6;newform_7,newform_5;newform_8;newform_9,newform_0:q=3;newform_4:q=3,12,36,92,level_survivor_exists,worth_human_modular_review,At least one imported newform has a surviving unit or single-mask branch at this candidate level.
5-4-5,2200,2^3 * 5^2 * 11,True,plausible_with_11,completed,mixed_or_unclear,25,3;13;17;41;61,3;13;17;41;61,newform_0;newform_1;newform_2;newform_3;newform_5;newform_6;newform_7;newform_8;newform_9;newform_10,newform_4;newform_12;newform_14;newform_18;newform_20;newform_21;newform_23;newform_24,newform_11;newform_13;newform_15;newform_16;newform_17;newform_19;newform_22,newform_0:q=3;newform_1:q=3;newform_2:q=3;newform_3:q=13;newform_5:q=13;newform_6:q=41;newform_7:q=13;newform_8:q=3;newform_9:q=3;newform_10:q=3,17,33,248,level_survivor_exists,worth_human_modular_review,At least one imported newform has a surviving unit or single-mask branch at this candidate level.
